stock_symbol,company_search_name,additional_search_term,inurl
AARTIIND,AARTIIND,quarterly,
ASIAN PAINTS,ASIAN PAINTS,quarterly,
BAJFINANCE,BAJFINANCE,quarterly,
BERGEPAINT,BERGEPAINT,quarterly,
BRITANNIA,BRITANNIA,quarterly,
CAMS,CAMS,quarterly,
CDSL,CDSL,quarterly,
DABUR,DABUR,quarterly,
DEEPAKNTR,DEEPAKNTR,quarterly,
DIVISLAB,DIVISLAB,quarterly,
DMART,DMART,quarterly,
HCLTECH,HCLTECH,quarterly,
HDFC,HDFC,quarterly,
HDFCAMC,HDFCAMC,quarterly,
HDFCBANK,HDFCBANK,quarterly,
HDFCLIFE,HDFCLIFE,quarterly,
HINDUNILVR,HINDUNILVR,quarterly,
ICICIBANK,ICICIBANK,quarterly,
ISEC,ISEC,quarterly,
ICICIGI,ICICIGI,quarterly,
INFY,INFY,quarterly,
KOTAKBANK,KOTAKBANK,quarterly,
LATENTVIEW,LATENTVIEW,quarterly,
M&M,M&M,quarterly,
MARICO,MARICO,quarterly,
MINDAIND,MINDAIND,quarterly,
MUTHOOTFIN,MUTHOOTFIN,quarterly,
PIDILITIND,PIDILITIND,quarterly,
PIIND,PIIND,quarterly,
RELIANCE,RELIANCE,quarterly,
TATACONSUM,TATACONSUM,quarterly,
TATAELXSI,TATAELXSI,quarterly,
TATAMOTORS,TATAMOTORS,quarterly,
TCS,TCS,quarterly,
TECHM,TECHM,quarterly,
TRENT,TRENT,quarterly,
TRIDENT,TRIDENT,quarterly,
VOLTAS,VOLTAS,quarterly,
WIPRO,WIPRO,quarterly,
MOLDTKPAC,MOLDTKPAC,quarterly,
ALKYLAMINE,ALKYLAMINE,quarterly,
BAJAJELEC,BAJAJELEC,quarterly,
DRREDDY,DRREDDY,quarterly,
ICICIPRU,ICICIPRU,quarterly,
ITC,ITC,quarterly,
JUBLFOOD,JUBLFOOD,quarterly,
NAVINFLUOR,NAVINFLUOR,quarterly,
POLYCAB,POLYCAB,quarterly,
TATACHEM,TATACHEM,quarterly,
TATAPOWER,TATAPOWER,quarterly,
APOLLOHOSP,APOLLOHOSP,quarterly,
BALAJIAMINES,BALAJIAMINES,quarterly,
BATA,BATA,quarterly,
DIXON,DIXON,quarterly,
FINEORG,FINEORG,quarterly,
HNDFDS,HNDFDS,quarterly,
LTTS,LTTS,quarterly,
LXCHEM,LXCHEM,quarterly,
MTARTECH,MTARTECH,quarterly,
NAUKRI,NAUKRI,quarterly,
PGHH,PGHH,quarterly,
PRINCEPIPE,PRINCEPIPE,quarterly,
RELAXO,RELAXO,quarterly,
ROSSARI,ROSSARI,quarterly,
SONACOMS,SONACOMS,quarterly,
BAJAJ AUTO,BAJAJ AUTO,quarterly,
TATAINVEST,TATAINVEST,quarterly,
LTI,LTI,quarterly,
